Name,Director,Rating,Genre,Writer,Actor1,Actor2,Actor3,Production,IMDB_Rating,IMDB_Votes,Metascore,Tomato_Meter,Tomato_Rating,Tomato_Review,Tomato_Fresh,Tomato_Rotten,Tomato_User_Rating,Tomato_User_Review,Budget,BoxOffice_Income,#VALUE!,
Welcome_to_the_Rileys,Jake_Scott,-0.186793297,-0.221322916,Ken_Hixon,James_Gandolfini,Kristen_Stewart,Melissa_Leo,Destination_Films,7,15041,50,55,3.4,78,43,35,3.4,17161,10000000,200000,0.02,
Paranormal_Activity_2,Tod_Williams,-0.186793297,-0.193305258,Michael_R._Perry,David_Bierend,Brian_Boland,Molly_Ephraim,Paramount_Pictures,5.7,61634,53,58,3.2,130,76,54,3.2,100731,5000000,84700000,16.94,
Insidious,James_Wan,0.139889589,-0.193305258,Leigh_Whannell,Patrick_Wilson,Rose_Byrne,Ty_Simpkins,FilmDistrict,6.8,118348,52,66,3.5,164,108,56,3.5,124139,1500000,54000000,36,
The_Back-up_Plan,Alan_Poul,0.139889589,0.020052986,Kate_Angelo,Jennifer_Lopez,Alex_O'Loughlin,Michaela_Watkins,CBS_Films,5,29546,34,19,3.1,140,26,114,3.1,134482,35000000,37500000,1.071428571,
Legendary,Mel_Damski,0.139889589,-0.221322916,John_Posey,Patricia_Clarkson,Devon_Graye,John_Cena,Samuel_Goldwyn_Films,6.1,3240,39,17,3.6,42,7,35,3.6,3190,5000000,200000,0.04,
Marley_&_Me,David_Frankel,0.56586367,0.020052986,Scott_Frank,Owen_Wilson,Jennifer_Aniston,Eric_Dane,20th_Century_Fox,7,85748,53,64,3.8,137,87,50,3.8,262242,60000000,143100000,2.385,
Revolutionary_Road,Sam_Mendes,-0.186793297,-0.221322916,Justin_Haythe,Kate_Winslet,Leonardo_DiCaprio,Christopher_Fitzgerald,Paramount_Pictures,7.3,116794,69,68,3.5,202,138,64,3.5,104238,35000000,22900000,0.654285714,
Forgetting_Sarah_Marshall,Nicholas_Stoller,-0.186793297,0.020052986,Jason_Segel,Jason_Segel,Kristen_Bell,Mila_Kunis,Universal_Pictures,7.2,168819,67,84,3.3,180,152,28,3.3,636685,30000000,62700000,2.09,
Gran_Torino,Clint_Eastwood,-0.186793297,-0.221322916,Nick_Schenk,Clint_Eastwood,Christopher_Carley,Bee_Vang,Warner_Bros._Pictures,8.2,388415,72,79,4.1,223,177,46,4.1,325056,33000000,148100000,4.487878788,
Mamma_Mia!,Phyllida_Lloyd,0.139889589,0.020052986,Catherine_Johnson,Amanda_Seyfried,Stellan_Skarsgrd,Pierce_Brosnan,Universal_Pictures,6.3,101393,51,54,3.6,178,97,81,3.6,433892,52000000,143700000,2.763461539,
Sex_and_the_City,Michael_Patrick_King,-0.186793297,0.020052986,Michael_Patrick_King,Sarah_Jessica_Parker,Kim_Cattrall,Kristin_Davis,Warner_Bros._Pictures,5.3,81147,53,49,3.8,176,87,89,3.8,462192,65000000,152600000,2.347692308,
Sunshine_Cleaning,Christine_Jeffs,-0.186793297,0.020052986,Megan_Holley,Amy_Adams,Emily_Blunt,Alan_Arkin,Overture_Films,6.9,50061,61,72,3.3,168,121,47,3.3,179472,5000000,12000000,2.4,
An_American_Carol,David_Zucker,0.139889589,0.020052986,David_Zucker,Trace_Adkins,Brandon_Alter,Chriss_Anglin,Vivendi_Entertainment,4.3,7927,20,11,2.9,45,5,40,2.9,15715,20000000,7000000,0.35,
Nick_and_Norah's_Infinite_Playlist,Peter_Sollett,0.139889589,0.020052986,Lorene_Scafaria,Michael_Cera,Kat_Dennings,Aaron_Yoo,Screen_Gems,6.7,57370,64,74,3.5,178,131,47,3.5,187551,10000000,31500000,3.15,
RocknRolla,Guy_Ritchie,-0.186793297,0.137533588,Guy_Ritchie,Gerard_Butler,Tom_Wilkinson,Thandie_Newton,Warner_Bros._Pictures,7.3,148275,53,59,3.6,144,85,59,3.6,54951,18000000,5700000,0.316666667,
Soul_Men,Malcolm_D._Lee,-0.186793297,0.020052986,Robert_Ramsey,Samuel_L._Jackson,Bernie_Mac,Sharon_Leal,MGM,6.4,6404,49,44,3.3,99,44,55,3.3,53919,40000000,12000000,0.3,
The_Haunting_of_Molly_Hartley,Mickey_Liddell,0.139889589,-0.221322916,John_Travis,Haley_Bennett,Jake_Weber,Chace_Crawford,Freestyle_Releasing,3.8,6670,28,3,2.5,37,1,36,2.5,62132,5000000,13400000,2.68,
Gomorrah,Matteo_Garrone,-0.43413633,-0.164969468,Roberto_Saviano,Salvatore_Abruzzese,Simone_Sacchettino,Salvatore_Ruocco,IFC_Films,7,31129,87,91,3.5,141,129,12,3.5,30918,6200000,1500000,0.241935484,
27_Dresses,Anne_Fletcher,0.139889589,0.020052986,Aline_Brosh_McKenna,Brian_Kerwin,Charli_Barcena,Peyton_List,20th_Century_Fox,6,83810,47,41,3.4,148,60,88,3.4,603565,30000000,76600000,2.553333333,
Seven_Pounds,Gabriele_Muccino,0.139889589,-0.221322916,Grant_Nieporte,Will_Smith,Rosario_Dawson,Woody_Harrelson,Sony_Pictures,7.6,176816,36,27,3.6,186,50,136,3.6,633756,54000000,70000000,1.296296296,
Nim's_Island,Jennifer_Flackett,0.56586367,0.547295553,Joseph_Kwong,Abigail_Breslin,Jodie_Foster,Gerard_Butler,Fox_Walden,6,22720,55,51,3.1,101,52,49,3.1,180428,37000000,47900000,1.294594595,
The_Brothers_Bloom,Rian_Johnson,0.139889589,0.547295553,Rian_Johnson,Rachel_Weisz,Adrien_Brody,Mark_Ruffalo,Summit_Entertainment,6.8,34306,55,66,3.3,148,97,51,3.3,90224,20000000,3500000,0.175,
The_Other_End_of_the_Line,James_Dodson,0.139889589,0.020052986,Tracey_Jackson,Jesse_Metcalfe,Shriya_Saran,Larry_Miller,Blue_Sky_Media,6.1,3126,40,37,3.3,19,7,12,3.3,2053,2500000,59100,0.02364,
Kit_Kittredge:_An_American_Girl,Patricia_Rozema,0.057765127,-0.221322916,Ann_Peacock,Abigail_Breslin,Julia_Ormond,Chris_O'Donnell,Picturehouse,6.6,3845,63,78,3.3,99,77,22,3.3,52183,10000000,17500000,1.75,
Jumper,Doug_Liman,0.139889589,0.137533588,David_S._Goyer,Hayden_Christensen,Jamie_Bell,Rachel_Bilson,20th_Century_Fox,5.9,180711,35,16,3.1,164,26,138,3.1,318566,85000000,80100000,0.942352941,
Vicky_Cristina_Barcelona,Woody_Allen,0.139889589,-0.221322916,Woody_Allen,Rebecca_Hall,Scarlett_Johansson,Christopher_Evan_Welch,The_Weinstein_Co.,7.2,141586,70,82,3.6,194,159,35,3.6,101407,15000000,23200000,1.546666667,
Righteous_Kill,Jon_Avnet,-0.186793297,0.137533588,Russell_Gewirtz,Robert_De_Niro,Al_Pacino,50_Cent,Overture_Films,5.9,61446,36,19,3.1,142,27,115,3.1,89752,60000000,40000000,0.666666667,
Slumdog_Millionaire,Danny_Boyle,-0.186793297,-0.221322916,Simon_Beaufoy,Dev_Patel,Saurabh_Shukla,Anil_Kapoor,Fox_Searchlight_Pictures,8.1,449684,86,94,4,229,215,14,4,1149320,15000000,141200000,9.413333333,
Hellboy_II:_The_Golden_Army,Guillermo_del_Toro,0.139889589,0.137533588,Guillermo_del_Toro,Ron_Perlman,Selma_Blair,Doug_Jones,Universal_Pictures,7,160848,78,87,3.5,213,185,28,3.5,818667,85000000,75800000,0.891764706,
Tokyo_Sonata,Kiyoshi_Kurosawa,0.139889589,-0.221322916,Kiyoshi_Kurosawa,Teruyuki_Kagawa,Kyko_Koizumi,Y_Koyanagi,Regent_Releasing,7.5,5587,80,94,3.7,83,78,5,3.7,12135,2500000,100000,0.04,
The_Express,Gary_Fleder,0.56586367,0.022169616,Charles_Leavitt,Rob_Brown,Dennis_Quaid,Darrin_Dewitt_Henson,Universal_Pictures,7.1,12012,58,61,3.1,115,70,45,3.1,819577,40000000,9600000,0.24,
Untraceable,Gregory_Hoblit,-0.186793297,-0.164969468,Robert_Fyvolent,Diane_Lane,Billy_Burke,Colin_Hanks,Screen_Gems,6.1,35153,32,16,3.3,146,23,123,3.3,224635,35000000,28700000,0.82,
Meet_the_Browns,Tyler_Perry,0.139889589,0.020052986,Tyler_Perry,Tyler_Perry,David_Mann,Tamela_J._Mann,Lionsgate_Films,3.6,4976,45,32,3.5,57,18,39,3.5,200139,20000000,41900000,2.095,
Step_Brothers,Adam_McKay,-0.186793297,0.020052986,Will_Ferrell,Will_Ferrell,John_C._Reilly,Mary_Steenburgen,Columbia_Pictures,6.8,150444,51,55,3.6,181,100,81,3.6,359482,65000000,100500000,1.546153846,
The_Boy_in_the_Striped_Pajamas,Mark_Herman,0.139889589,-0.221322916,John_Boyne,Asa_Butterfield,Zac_Mattoon_O'Brien,Domonkos_Nmeth,Miramax,7.8,81201,55,63,3.9,135,85,50,3.9,110177,12500000,9000000,0.72,
Delgo,Marc_F._Adler,0.56586367,0.317528821,Patrick_J._Cowan,Freddie_Prinze_Jr.,Chris_Kattan,Jennifer_Love_Hewitt,Freestyle_Releasing,4.4,2111,27,12,2.6,43,5,38,2.6,2266,40000000,500000,0.0125,
The_Strangers,Bryan_Bertino,-0.186793297,-0.193305258,Bryan_Bertino,Alex_Fisher,Peter_Clayton-Luce,Scott_Speedman,Universal_Pictures,6.1,71558,47,45,3.1,150,68,82,3.1,309237,9000000,52500000,5.833333333,
Ghost_Town,David_Koepp,0.139889589,0.020052986,David_Koepp,Greg_Kinnear,Jordan_Carlos,Dequina_Moore,DreamWorks,6.7,50904,72,85,3.3,179,152,27,3.3,431397,20000000,13200000,0.66,
The_Chronicles_of_Narnia:_Prince_Caspian,Andrew_Adamson,0.56586367,0.137533588,Andrew_Adamson,Ben_Barnes,Georgie_Henley,Skandar_Keynes,Walt_Disney_Pictures,6.6,107330,62,67,3.7,187,125,62,3.7,549902,225000000,141600000,0.629333333,
The_Forbidden_Kingdom,Rob_Minkoff,0.139889589,0.137533588,John_Fusco,Jet_Li,Michael_Angarano,Jackie_Chan,Lionsgate,6.6,71668,57,64,3.5,126,81,45,3.5,325554,55000000,51900000,0.943636364,
Babylon_A.D.,Mathieu_Kassovitz,0.139889589,0.137533588,Maurice_G._Dantec,Vin_Diesel,Michelle_Yeoh,Mlanie_Thierry,20th_Century_Fox,5.5,66189,26,6,2.8,97,6,91,2.8,151402,70000000,22500000,0.321428571,
The_Mummy:_Tomb_of_the_Dragon_Emperor,Rob_Cohen,0.139889589,0.137533588,Alfred_Gough,Brendan_Fraser,Jet_Li,Maria_Bello,Universal_Pictures,5.2,85314,31,13,2.9,169,22,147,2.9,338687,145000000,102200000,0.704827586,
Over_Her_Dead_Body,Jeff_Lowell,0.139889589,0.020052986,Jeff_Lowell,Eva_Longoria,Paul_Rudd,Lake_Bell,New_Line_Cinema,5.1,17691,30,15,3.1,107,16,91,3.1,143311,10000000,7500000,0.75,
What_Just_Happened,Barry_Levinson,-0.186793297,0.020052986,Art_Linson,Robert_De_Niro,Sean_Penn,Catherine_Keener,Magnolia_Pictures,5.7,20778,N/A,51,2.6,139,71,68,2.6,12443,25000000,1000000,0.04,
Free_Style,William_Dear,0.56586367,-0.221322916,Jeffrey_Nicholson,Corbin_Bleu,Madison_Pettis,Penelope_Ann_Miller,Samuel_goldwyn_Films,3.8,324,N/A,29,3.4,17,5,12,3.4,706,10000000,97800,0.00978,
Elegy,Isabel_Coixet,-0.186793297,-0.221322916,Nicholas_Meyer,Penlope_Cruz,Ben_Kingsley,Dennis_Hopper,MGM,6.8,16768,66,75,3.2,115,86,29,3.2,72303,13000000,3500000,0.269230769,
Hancock,Peter_Berg,0.139889589,0.137533588,Vincent_Ngo,Will_Smith,Charlize_Theron,Jason_Bateman,Columbia_Pictures,6.4,223003,49,41,3.6,216,88,128,3.6,552444,150000000,227900000,1.519333333,
Zack_and_Miri_Make_a_Porno,Kevin_Smith,-0.186793297,0.020052986,Kevin_Smith,Elizabeth_Banks,Seth_Rogen,Craig_Robinson,The_Weinstein_Company,6.7,122114,56,65,3.5,193,126,67,3.5,234203,24000000,31400000,1.308333333,
The_Sisterhood_of_the_Traveling_Pants_2,Sanaa_Hamri,0.139889589,0.020052986,Elizabeth_Chandler,Amber_Tamblyn,Alexis_Bledel,America_Ferrera,Warner_Bros._Pictures,6.2,17117,63,64,3.4,95,61,34,3.4,187904,27000000,44000000,1.62962963,
Appaloosa,Ed_Harris,-0.186793297,-0.164969468,Robert_Knott,Robert_Jauregui,Jeremy_Irons,Timothy_V._Murphy,Warner_Bros._Pictures,6.7,42128,64,76,3.3,159,121,38,3.3,54717,20000000,20200000,1.01,
Welcome_Home,2008,Malcolm_D._Lee,0.139889589,0.020052986,Malcolm_D._Lee,Martin_Lawrence,James_Earl_Jones,Margaret_Avery,Universal_Pictures,5,8887,46,22,3.3,82,18,64,3.3,189847,35000000,42200000,
Billy:_The_Early_Years,Robby_Benson,0.56586367,0.022169616,William_Paul_McKay,J._Thomas_Bailey,Dan_Beene,Cliff_Bemis,Rocky_Mountain_Pictures,6.2,194,N/A,N/A,3.5,3,0,3,3.5,214,3600000,300000,0.083333333,
Indiana_Jones_and_the_Kingdom_of_the_Crystal_Skull,Steven_Spielberg,0.139889589,0.137533588,David_Koepp,Harrison_Ford,Cate_Blanchett,Karen_Allen,Paramount_Pictures,6.3,246125,65,78,3.3,256,199,57,3.3,1311834,185000000,317000000,1.713513514,
City_of_Ember,Gil_Kenan,0.56586367,0.547295553,Caroline_Thompson,David_Ryall,Ian_McElhinney,Harry_Treadaway,Fox_Walden,6.4,39888,58,53,3.2,124,66,58,3.2,63046,55000000,7800000,0.141818182,
The_House_Bunny,Fred_Wolf,0.139889589,0.020052986,Karen_McCullah,Anna_Faris,Colin_Hanks,Emma_Stone,Sony_Pictures,5.4,47125,55,41,3.2,122,50,72,3.2,209692,25000000,48200000,1.928,
Milk,Gus_Van_Sant,-0.186793297,0.022169616,Dustin_Lance_Black,Sean_Penn,Emile_Hirsch,Josh_Brolin,Focus_Features,7.6,104183,84,94,4,226,212,14,4,174652,20000000,31700000,1.585,
Sex_Drive,Sean_Anders,-0.186793297,0.547295553,Sean_Anders,Josh_Zuckerman,Amanda_Crew,Clark_Duke,Summit_Entertainment,6.6,57458,49,46,3.4,111,51,60,3.4,73293,19000000,8400000,0.442105263,
Traitor,Jeffrey_Nachmanoff,0.139889589,0.137533588,Jeffrey_Nachmanoff,Don_Cheadle,Guy_Pearce,Sad_Taghmaoui,Overture_Films,7,43095,60,63,3.4,165,104,61,3.4,63618,22000000,23500000,1.068181818,
Redbelt,David_Mamet,-0.186793297,-0.221322916,David_Mamet,Max_Martini,Matt_Cable,Chiwetel_Ejiofor,Sony_Pictures,6.8,16815,69,67,3.4,140,94,46,3.4,21732,7000000,2300000,0.328571429,
Burn_After_Reading,Ethan_Coen,-0.186793297,0.020052986,Joel_Coen,George_Clooney,Frances_McDormand,Brad_Pitt,Focus_Features,7,187947,63,78,3.3,225,176,49,3.3,183180,37000000,60300000,1.62972973,
Mesrine:_Killer_Instinct,Jean-Franois_Richet,-0.186793297,0.137533588,Jacques_Mesrine,Vincent_Cassel,Ccile_De_France,Grard_Depardieu,Music_Box_Films,7.6,20183,71,82,3.8,68,56,12,3.8,20025,40000000,11000000,0.275,
Harold_&_Kumar_Escape_from_Guantanamo_Bay,Jon_Hurwitz,-0.186793297,0.547295553,Jon_Hurwitz,John_Cho,Kal_Penn,Rob_Corddry,Warner_Bros._Pictures,6.6,93446,57,53,3.4,132,70,62,3.4,376362,12000000,38100000,3.175,
The_Rocker,Peter_Cattaneo,0.139889589,0.020052986,Maya_Forbes,Rainn_Wilson,Christina_Applegate,Teddy_Geiger,Fox_Atomic,6.1,26866,53,41,3.1,123,51,72,3.1,43575,15000000,6300000,0.42,
Four_Christmases,Seth_Gordon,0.139889589,0.020052986,Matt_Allen,Vince_Vaughn,Reese_Witherspoon,Robert_Duvall,New_Line_Cinema,5.6,37580,41,25,3.2,143,36,107,3.2,252984,80000000,120100000,1.50125,
Kung_Fu_Panda,Mark_Osborne,0.56586367,0.317528821,Jonathan_Aibel,Jack_Black,Dustin_Hoffman,Angelina_Jolie,Paramount_Pictures,7.6,200383,73,87,3.9,174,152,22,3.9,577917,130000000,215400000,1.656923077,
Stop-Loss,Kimberly_Peirce,-0.186793297,-0.221322916,Mark_Richard,Ryan_Phillippe,Joseph_Gordon-Levitt,Rob_Brown,Paramount_Pictures,6.5,15465,61,65,2.5,139,90,49,2.5,747645,25000000,10800000,0.432,
Eagle_Eye,D.J._Caruso,0.139889589,0.137533588,John_Glenn,Shia_LaBeouf,Michelle_Monaghan,Rosario_Dawson,Paramount_Pictures,6.6,121926,43,26,3.6,179,47,132,3.6,305305,80000000,101100000,1.26375,
Igor,Anthony_Leondis,0.56586367,0.317528821,Chris_McKenna,John_Cusack,Myleene_Klass,Robin_Walsh,MGM,6,16141,40,36,3,90,32,58,3,81971,25000000,19400000,0.776,
Madagascar:_Escape_2_Africa,Tom_McGrath,0.56586367,0.317528821,Etan_Cohen,Ben_Stiller,Chris_Rock,David_Schwimmer,Paramount_Pictures,6.7,91577,61,64,3.6,150,96,54,3.6,363126,150000000,180000000,1.2,
Choke,Clark_Gregg,-0.186793297,0.020052986,Clark_Gregg,Kathryn_Alexander,Teodorina_Bello,Kate_Blumberg,Fox_Searchlight,6.5,24572,47,54,3.2,138,74,64,3.2,34558,3400000,2800000,0.823529412,
Body_of_Lies,Ridley_Scott,-0.186793297,0.137533588,William_Monahan,Leonardo_DiCaprio,Russell_Crowe,Mark_Strong,Warner_Bros._Pictures,7.1,131356,57,54,3.5,203,110,93,3.5,128013,70000000,39400000,0.562857143,
How_to_Lose_Friends_&_Alienate_People,Robert_B._Weide,-0.186793297,0.020052986,Peter_Straughan,Kelan_Pannell,Janette_Scott,Simon_Pegg,MGM,6.5,52779,35,36,3.1,110,40,70,3.1,48131,28000000,2500000,0.089285714,
Lakeview_Terrace,Neil_LaBute,0.139889589,-0.164969468,David_Loughery,Samuel_L._Jackson,Patrick_Wilson,Kerry_Washington,Screen_Gems,6.1,33565,47,45,3.1,161,73,88,3.1,138106,20000000,39300000,1.965,
10,2008,Roland_Emmerich,0.139889589,0.137533588,Roland_Emmerich,Steven_Strait,Camilla_Belle,Cliff_Curtis,Warner_Bros._Pictures,4.9,87762,34,8,2.9,145,12,133,2.9,409120,105000000,94800000,
Little_Ashes,Paul_Morrison,-0.186793297,0.022169616,Philippa_Goslett,Javier_Beltrn,Robert_Pattinson,Matthew_McNulty,Regent_Releasing,6.4,6128,41,24,3,68,16,52,3,79060,2900000,400000,0.137931035,
Quantum_of_Solace,Marc_Forster,0.139889589,0.137533588,Paul_Haggis,Daniel_Craig,Olga_Kurylenko,Mathieu_Amalric,Sony_Pictures,6.7,230889,58,64,3.4,244,157,87,3.4,426991,200000000,168400000,0.842,
Street_Kings,David_Ayer,-0.186793297,0.137533588,James_Ellroy,Keanu_Reeves,Forest_Whitaker,Hugh_Laurie,20th_Century_Fox,6.8,80546,55,36,3.4,151,54,97,3.4,202630,20000000,26400000,1.32,
Max_Payne,John_Moore,0.139889589,0.137533588,Beau_Thorne,Mark_Wahlberg,Mila_Kunis,Beau_Bridges,20th_Century_Fox,5.3,88566,31,16,2.8,131,21,110,2.8,229235,35000000,40600000,1.16,
The_Secret_Life_of_Bees,Gina_Prince-Bythewood,0.139889589,-0.221322916,Gina_Prince-Bythewood,Dakota_Fanning,Queen_Latifah,Jennifer_Hudson,Fox_Searchlight,7.2,15071,57,58,3.7,136,79,57,3.7,110969,11000000,37700000,3.427272727,
Wendy_and_Lucy,Kelly_Reichardt,-0.186793297,-0.221322916,Jonathan_Raymond,Michelle_Williams,Lucy,David_Koppell,Oscilloscope_Pictures,7.1,9781,80,85,3.4,150,128,22,3.4,11471,300000,700000,2.333333333,
Cloverfield,Matt_Reeves,0.139889589,0.137533588,Drew_Goddard,Lizzy_Caplan,Jessica_Lucas,T.J._Miller,Paramount_Pictures,7.1,227681,64,77,3.4,196,150,46,3.4,414607,25000000,80000000,3.2,
The_Hurt_Locker,Kathryn_Bigelow,-0.186793297,-0.221322916,Mark_Boal,Jeremy_Renner,Anthony_Mackie,Brian_Geraghty,Summit_Entertainment,7.6,228940,94,97,3.9,218,212,6,3.9,87972,15000000,15700000,1.046666667,
Never_Back_Down,Jeff_Wadlow,0.139889589,0.137533588,Chris_Hauty,Sean_Faris,Amber_Heard,Cam_Gigandet,Summit_Entertainment,6.4,58548,39,22,2.9,86,19,67,2.9,607716,20000000,24800000,1.24,
Space_Chimps,Kirk_De_Micco,0.057765127,0.317528821,Kirk_De_Micco,Andy_Samberg,Cheryl_Hines,Jeff_Daniels,20th_Century_Fox,4.5,7304,36,34,2.8,92,31,61,2.8,123827,37000000,29900000,0.808108108,
Outlander,Howard_McCain,-0.186793297,0.137533588,Dirk_Blackman,Jim_Caviezel,Sophia_Myles,Jack_Huston,Third_Rail_Releasing,6.2,52086,40,38,3.1,61,23,38,3.1,46310,47000000,59600,0.001268085,
The_Spirit,Frank_Miller,0.139889589,0.137533588,Frank_Miller,Jaime_King,Gabriel_Macht,Dan_Gerrity,Lionsgate_Films,4.8,46652,30,14,2.5,112,16,96,2.5,121816,60000000,19800000,0.33,
Taken,Pierre_Morel,0.139889589,0.137533588,Luc_Besson,Liam_Neeson,Maggie_Grace,Jon_Gries,20th_Century_Fox,7.9,346053,50,58,4.1,168,98,70,4.1,729699,25000000,144900000,5.796,
Punisher:_War_Zone,Lexi_Alexander,-0.186793297,0.137533588,Nick_Santora,Ray_Stevenson,Dominic_West,Doug_Hutchison,Lionsgate,6,36755,30,27,3,101,27,74,3,131088,35000000,7900000,0.225714286,
Disaster_Movie,Aaron_Seltzer,0.139889589,0.020052986,Jason_Friedberg,Matt_Lanter,Vanessa_Lachey,Gary_'G._Thang'_Johnson,Lionsgate,1.8,61394,15,1,2.2,69,1,68,2.2,127920,20000000,14200000,0.71,
Synecdoche,2008,Charlie_Kaufman,-0.186793297,-0.221322916,Charlie_Kaufman,Philip_Seymour_Hoffman,Catherine_Keener,Sadie_Goldstein,Sydney_Kimmel_Entertainment,7.3,37240,67,69,3.6,179,123,56,3.6,54679,20000000,3000000,
The_Lucky_Ones,Neil_Burger,-0.186793297,0.020052986,Neil_Burger,Rachel_McAdams,Tim_Robbins,Michael_Pea,Lionsgate,7,9514,53,36,3.3,72,26,46,3.3,11620,14000000,200000,0.014285714,
Frozen_River,Courtney_Hunt,-0.186793297,-0.164969468,Courtney_Hunt,Melissa_Leo,Misty_Upham,Charlie_McDermott,Sony_Pictures,7.2,18751,82,87,3.3,127,111,16,3.3,85411,1000000,2100000,2.1,
Definitely,2008,Adam_Brooks,0.139889589,0.020052986,Adam_Brooks,Ryan_Reynolds,An_Nguyen,Matthew_Mason,Universal_Pictures,7.1,99856,59,70,3.5,145,102,43,3.5,138319,7000000,32000000,
What_Happens_in_Vegas,Tom_Vaughan,0.139889589,0.020052986,Dana_Fox,Cameron_Diaz,Ashton_Kutcher,Rob_Corddry,20th_Century_Fox,6,104567,36,27,3.6,130,35,95,3.6,499987,35000000,80200000,2.291428571,
You_Don't_Mess_with_the_Zohan,Dennis_Dugan,0.139889589,0.137533588,Adam_Sandler,Adam_Sandler,John_Turturro,Emmanuelle_Chriqui,Sony_Pictures,5.5,117439,54,37,3.1,185,69,116,3.1,408214,90000000,100000000,1.111111111,
Quarantine,John_Erick_Dowdle,-0.186793297,-0.193305258,John_Erick_Dowdle,Jennifer_Carpenter,Steve_Harris,Jay_Hernandez,Screen_Gems,6,45483,53,58,3,81,47,34,3,880739,12000000,31700000,2.641666667,
Fireflies_in_the_Garden,Dennis_Lee,-0.186793297,-0.221322916,Robert_Frost,Ryan_Reynolds,Willem_Dafoe,Emily_Watson,Senator_Entertainment,6.5,8469,34,20,3.1,51,10,41,3.1,44918,8000000,36900,0.0046125,
The_Tale_of_Despereaux,Sam_Fell,0.057765127,0.547295553,Kate_DiCamillo,Matthew_Broderick,Dustin_Hoffman,Emma_Watson,Universal_Pictures,6.1,25406,53,56,3.1,107,60,47,3.1,162504,60000000,50800000,0.846666667,
War,2008,Joshua_Seftel,-0.186793297,0.137533588,Mark_Leyner,John_Cusack,Hilary_Duff,Marisa_Tomei,First_Look_Pictures,5.6,18172,37,30,2.9,81,24,57,2.9,112957,10000000,500000,
WALLE,Andrew_Stanton,0.057765127,0.317528821,Andrew_Stanton,Ben_Burtt,Elissa_Knight,Jeff_Garlin,Walt_Disney_Pictures,8.5,448385,94,96,4.2,237,228,9,4.2,584364,180000000,223700000,1.242777778,
Inkheart,Iain_Softley,0.56586367,0.547295553,David_Lindsay-Abaire,Brendan_Fraser,Sienna_Guillory,Eliza_Bennett,Warner_Bros._Pictures,6,44896,N/A,39,3.2,142,55,87,3.2,165626,60000000,17300000,0.288333333,
Hamlet_2,Andrew_Fleming,-0.186793297,0.020052986,Pam_Brady,Steve_Coogan,Catherine_Keener,Joseph_Julian_Soria,Focus_Features,6.4,13939,54,62,3.2,142,88,54,3.2,17341,9000000,4800000,0.533333333,
The_Spiderwick_Chronicles,Mark_Waters,0.56586367,0.547295553,Karey_Kirkpatrick,Freddie_Highmore,Mary-Louise_Parker,Nick_Nolte,Paramount_Pictures,6.6,50709,62,80,3.4,144,115,29,3.4,353354,90000000,71100000,0.79,
Vantage_Point,Pete_Travis,0.139889589,0.137533588,Barry_L._Levy,Dennis_Quaid,Matthew_Fox,Forest_Whitaker,Sony_Pictures,6.6,107939,40,35,3.3,154,54,100,3.3,372423,40000000,72300000,1.8075,
Yes_Man,Peyton_Reed,0.139889589,0.020052986,Nicholas_Stoller,Jim_Carrey,Zooey_Deschanel,Bradley_Cooper,Warner_Bros._Pictures,6.8,203754,46,45,3.6,152,69,83,3.6,314596,70000000,97600000,1.394285714,
The_Midnight_Meat_Train,Ryhei_Kitamura,-0.186793297,-0.193305258,Jeff_Buhler,Bradley_Cooper,Leslie_Bibb,Brooke_Shields,Lionsgate_Films,6.1,37766,58,71,3.1,28,20,8,3.1,142254,15000000,34400,0.002293333,
The_Incredible_Hulk,Louis_Leterrier,0.139889589,0.137533588,Zak_Penn,Edward_Norton,Liv_Tyler,Tim_Roth,Universal_Pictures,6.9,227864,61,67,3.6,218,146,72,3.6,728711,150000000,134500000,0.896666667,
Me_and_Orson_Welles,Richard_Linklater,0.139889589,-0.221322916,Holly_Gent_Palmo,Garrick_Hagon,Zac_Efron,Zoe_Kazan,Freestyle_Releasing,6.8,7049,73,85,3.3,151,128,23,3.3,17149,25000000,1100000,0.044,
Tropic_Thunder,Ben_Stiller,-0.186793297,0.137533588,Justin_Theroux,Jeff_Kahn,Robert_Downey_Jr.,Anthony_Ruivivar,DreamWorks,7,229535,71,83,3.5,229,189,40,3.5,290082,92000000,110400000,1.2,
Speed_Racer,Andy_Wachowski,0.56586367,0.137533588,Andy_Wachowski,Emile_Hirsch,Nicholas_Elia,Susan_Sarandon,Warner_Bros._Pictures,6.1,49386,37,39,3.2,207,80,127,3.2,399666,120000000,43900000,0.365833333,
The_Day_the_Earth_Stood_Still,Scott_Derrickson,0.139889589,-0.221322916,David_Scarpa,Keanu_Reeves,Jennifer_Connelly,Kathy_Bates,20th_Century_Fox,5.4,112033,40,21,2.8,192,40,152,2.8,301834,995000,1850000,79.49748744,
Baby_Mama,Michael_McCullers,0.139889589,0.020052986,Michael_McCullers,Amy_Poehler,Tina_Fey,Greg_Kinnear,Universal_Pictures,6,27317,55,63,3.3,161,102,59,3.3,373209,30000000,60300000,2.01,
The_Longshots,Fred_Durst,0.56586367,0.022169616,Nick_Santora,Ice_Cube,Keke_Palmer,Tasha_Smith,The_Weinstein_Company,4.9,2752,52,40,3.5,72,29,43,3.5,22467,23000000,11400000,0.495652174,
